Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status
2007-02-13,"Moscow, Russia",Russia,Non-Fatal,Destroyed,,"Bombardier, Inc.",CL-600-2B19,No,,,Positioning,,2.0,1.0,,IMC,,Foreign
2007-02-16,"Natal, Brazil",Brazil,Fatal(1),Destroyed,,Piper,PA-34-200T,No,,,Personal,1.0,,,,VMC,,Foreign
2007-02-17,"Alghero Fertili, Italy",Italy,Incident,Minor,,Boeing,737-400,,,,,,,,,,,Foreign
2007-02-20,"Sao Paulo,, Brazil",Brazil,Non-Fatal,,Helicopter,Bell,212,No,2.0,,,,,,7.0,,,Foreign
2007-02-21,"Surabaya, Indonesia",Indonesia,Non-Fatal,Destroyed,,Boeing,,,,,,,,,7.0,,,Foreign
2007-02-23,"OFFICER SOUTH, AUSTRALIA",Australia,Fatal(2),Substantial,,,RV-4,Yes,,,Unknown,2.0,,,,,,Foreign
2007-02-26,"LONDON, UNITED KINGDOM",United Kingdom,Non-Fatal,Substantial,Airplane,Boeing,777-200B,No,,,,,,,205.0,,,Foreign
2007-03-03,"London, United Kingdom",United Kingdom,Incident,Minor,,Boeing,767-300,,,,,,,,,,,Foreign
2007-03-07,"VREDEN, GERMANY",Germany,Non-Fatal,Substantial,,Robinson,R-22 BETA,No,,,Instructional,,,2.0,4.0,VMC,,Foreign
2007-03-07,"Vreden, Germany",Germany,Non-Fatal,Minor,,Eurocopter,EC120B,No,,,,,,2.0,4.0,VMC,,Foreign
2007-03-07,"Yogyakarta, Indonesia",Indonesia,Fatal(23),Destroyed,,Boeing,B737-400,No,,,,23.0,50.0,,60.0,,,Foreign
2007-03-09,"Lilongwe, Malawi",Malawi,Fatal(2),Destroyed,,Piper,PA-34-200T,,,,,2.0,,,,VMC,,Foreign
2007-03-10,"CASARRUBIOS DEL MONTE, SPAIN",Spain,Non-Fatal,Substantial,Airplane,Columbia,LC42-550FG,No,1.0,Reciprocating,Personal,,,,1.0,VMC,,Foreign
2007-03-19,"Stansted, United Kingdom",United Kingdom,Incident,,Airplane,Lockheed,L188C,No,,Turbo Prop,,,,,3.0,UNK,,Foreign
2007-03-19,"Rendsburg-Schac, Germany",Germany,Fatal(1),Destroyed,,Beech,24R,No,,,Personal,1.0,,,,VMC,,Foreign
2007-03-21,"Shanghai, China",China,Incident,,,Boeing,747,No,4.0,Turbo Fan,,,,,,,,Foreign
2007-03-22,"Quepos, Costa Rica",Costa Rica,Non-Fatal,Minor,,Cessna,208B,No,,,,,,,9.0,VMC,,Foreign
2007-03-27,"Riyadh, Saudi Arabia",Saudi Arabia,Non-Fatal,,,Embraer,E-170,No,,,,,,,2.0,VMC,,Foreign
2007-03-28,"Amman, Jordan",Jordan,Incident,Minor,,Piper,PA28-181,No,,,,,,,,,,Foreign
2007-04-01,"Klagenfurt, Austria",Austria,Fatal(2),Destroyed,,Piper,PA-34-200T,No,2.0,Reciprocating,Personal,2.0,,,,VMC,,Foreign
2007-04-02,"DARWIN, AUSTRALIA",Australia,Non-Fatal,Substantial,,Israel Aircraft Industries,1124,No,,,,,,,2.0,VMC,,Foreign
2007-04-03,"Chengdu, China",China,Incident,,,Boeing,747-400 Cargo,No,,,,,,,,,,Foreign
2007-04-09,"OBAN, SCOTLAND, UNITED KINGDOM",United Kingdom,Fatal(3),Substantial,,Piper,PA-28R-201T,No,,,Personal,3.0,,,,,,Foreign
2007-04-10,"Bird Cay, Bahamas",Bahamas,Fatal(2),Destroyed,,Piper,PA-46-310P,No,1.0,Reciprocating,Business,2.0,,,,IMC,Cruise,Probable Cause
2007-04-18,"GAMLE QUTDLIGSS, GREENLAND",Greenland,Non-Fatal,Substantial,,Sikorsky,S61N,No,,,Aerial Observation,,,,27.0,VMC,,Foreign
2007-04-18,"Marsh Harbour, Bahamas",Bahamas,Incident,,,Beech,1900D,No,,,,,,,13.0,,,Foreign
2007-04-19,"Dammam, Saudi Arabia",Saudi Arabia,Incident,Minor,,Boeing,747-300,No,,,,,,,,,,Foreign
2007-04-21,ATLANTIC OCEAN,ATLANTIC OCEAN,Fatal(5),Destroyed,,Piper,PA-23-250,No,2.0,Reciprocating,Personal,5.0,,,,VMC,Climb,Probable Cause
2007-04-21,"Changuinola, Panama",Panama,Fatal(2),,,Bell,206,No,,,,2.0,2.0,,,VMC,,Foreign
2007-04-21,"North Sea, United Kingdom",United Kingdom,Incident,,,Sikorsky,76-C+,No,,,Unknown,,,,6.0,,,Foreign
2007-04-25,"Kopinang, Guyana",Guyana,Fatal(3),Destroyed,,Britten-norman,BN2A Islander,No,,,,3.0,2.0,,,VMC,,Foreign
2007-04-26,"La Spezia, Italy",Italy,Non-Fatal,Destroyed,,Erickson,S-64F,No,,,,,,,2.0,,,Foreign
2007-04-28,"Palma Real, Honduras",Honduras,Fatal(1),Destroyed,,Cessna,210,No,,,Business,1.0,,,,IMC,,Foreign
2007-04-29,,Brazil,Incident,,,Boeing,737-300,No,,,,,,,,,,Foreign
2007-05-01,"PETERBOROUGH, UNITED KINGDOM",United Kingdom,Unavailable,Substantial,,Eurocopter,AS355F2,,,,,,,,,,,Foreign
2007-05-05,"Douala, Cameroon",Cameroon,Fatal(114),Destroyed,,Boeing,B737-800,,,,,114.0,,,,,,Foreign
2007-05-07,"Cork, Ireland",Ireland,Incident,,,Agusta,A.109 Mk.II,No,,,,,,,,,,Foreign
2007-05-09,"London, United Kingdom",United Kingdom,Incident,,,Dassault-breguet,Mystere Falcon 20-F5,No,,,Business,,,,7.0,,,Foreign
2007-05-12,"CIUDAD VICTORIA, MEXICO",Mexico,Fatal(1),Substantial,,Bell,47G,No,,,Ferry,1.0,1.0,,,VMC,,Foreign
2007-05-12,"Tel Aviv, Israel",Israel,Incident,Minor,,Boeing,777-200ER,No,,,,,,,,,,Foreign
2007-05-13,London Control,,Incident,,,Boeing,737-800,No,,,,,,,,,,Foreign
2007-05-13,"San Francisco, Honduras",Honduras,Fatal(1),Destroyed,,Cessna,A188B,No,,,Aerial Application,1.0,,,,VMC,,Foreign
2007-05-23,"FULDA-JOSSA, GERMANY",Germany,Fatal(1),Substantial,,Grumman American,AG-5B,No,,,Personal,1.0,,,,VMC,,Foreign
2007-05-24,"Broome, Australia, Australia",Australia,Incident,,Airplane,Beech,B200,No,2.0,Turbo Prop,,,,,,,,Foreign
2007-05-25,"ACARICUARA, COLOMBIA",Colombia,Unavailable,Substantial,,Douglas,DC-3,No,,,Business,,,,,VMC,,Foreign
2007-05-31,"Victoria, Australia",Australia,Incident,,,Beech,200,No,,,Unknown,,,,2.0,VMC,,Foreign
2007-06-01,"Zurich, Switzerland",Switzerland,Non-Fatal,Minor,,Gulfstream Aerospace,G-V,No,,,Business,,,,9.0,VMC,,Foreign
2007-06-02,"TERAMO, ITALY",Italy,Fatal(4),Substantial,,Robinson,R-44,No,,,,4.0,,,,VMC,,Foreign
2007-06-02,"Nakatsugawa, Japan",Japan,Fatal(1),Destroyed,,Bell,412SP,No,2.0,Turbo Shaft,,1.0,,,,,,Foreign
2007-06-03,"KASHIRA, RUSSIA",Russia,Fatal(1),Substantial,,Robinson,R-44,No,,,Unknown,1.0,2.0,,,VMC,,Foreign
2007-06-03,"Meranges, Spain",Spain,Fatal(1),Destroyed,,Cessna,172P,No,,,Personal,1.0,2.0,1.0,,VMC,,Foreign
2007-06-05,"SIMITI, BOLIVAR, COLOMBIA",Colombia,Fatal(2),Substantial,,Bell,206L-3,No,,,,2.0,4.0,,,IMC,,Foreign
2007-06-13,"Guipuzcoa, Spain",Spain,Fatal(2),Destroyed,,Bell,212,No,,Turbo Shaft,Positioning,2.0,,,,IMC,,Foreign
2007-06-15,"San Luis Gonzag, Mexico",Mexico,Fatal(2),Destroyed,,Cessna,182,No,,,Unknown,2.0,,,,VMC,,Foreign
2007-06-16,"nyika, Malawi",Malawi,Fatal(6),Destroyed,Airplane,Cessna,U206F,No,,,,6.0,,,,,,Foreign
2007-06-16,"Chelinda, Malawi",Malawi,Fatal(6),Destroyed,,Cessna,U206F,No,,,Personal,6.0,,,,VMC,,Foreign
2007-06-18,"MARLBOROUGH, NEW ZEALAND",New Zealand,Non-Fatal,Substantial,,Beech,1900D,No,,,,,,,19.0,VMC,,Foreign
2007-06-19,"Moixent, Spain",Spain,Fatal(1),Destroyed,,Cessna,337G,No,,,Personal,1.0,,2.0,,VMC,,Foreign
2007-06-21,ATLANTIC OCEAN,ATLANTIC OCEAN,Non-Fatal,Destroyed,,Piper,PA-28-161,No,,,Personal,,,,3.0,VMC,,Foreign
2007-06-23,"Quito, Ecuador",Ecuador,Incident,,,Boeing,757,No,,,,,,,171.0,VMC,,Foreign
2007-06-25,"Treviso, Italy",Italy,Non-Fatal,Minor,,Boeing,B737-800,No,,,,,,,181.0,,,Foreign
2007-06-28,"M'banza Congo, Angola",Angola,Fatal(6),Destroyed,,Boeing,737-200,No,,,,6.0,,,79.0,,,Foreign
2007-06-29,"Ayapel, Colombia",Colombia,Fatal(2),Destroyed,,Hughes,MD369,No,,,,2.0,,,,,,Foreign
2007-07-01,"BERNICK LAKE, CANADA",Canada,Fatal(2),Substantial,,Eurocopter,AS 350-B2,No,1.0,Turbo Shaft,,2.0,,,,,,Foreign
2007-07-03,"McLean's Town, Bahamas",Bahamas,Non-Fatal,Destroyed,,Cessna,T210H,No,,,Personal,,1.0,,,VMC,,Foreign
2007-07-05,"Culiacan, Mexico",Mexico,Fatal(9),Destroyed,,North American,T39A,No,,,,9.0,,,,VMC,,Foreign
2007-07-05,"Inverin, Ireland",Ireland,Fatal(2),Destroyed,,Cessna,208B,No,1.0,Turbo Prop,,2.0,4.0,3.0,,IMC,,Foreign
2007-07-12,"Ballynacally, County Clare, Republic of Ireland, Ireland",Ireland,Fatal(1),Destroyed,Helicopter,Aerospatiale,350B1,No,2.0,Turbo Shaft,,1.0,1.0,,,,,Foreign
2007-07-17,"Sao Paulo, Brazil",Brazil,Fatal(199),Destroyed,,Airbus Industrie,A320-233,No,,,,199.0,,,,IMC,,Foreign
2007-07-21,"BOLIVAR, VENEZUELA",Venezuela,Non-Fatal,Substantial,,Cessna,208B,No,,,,,,1.0,1.0,VMC,,Foreign
2007-07-21,"Tlajomulco, Mexico",Mexico,Fatal(1),Destroyed,,Beech,BE-36TC,No,1.0,,Personal,1.0,4.0,,,IMC,,Foreign
2007-07-22,"San Salvador, El Salvador",El Salvador,Fatal(1),Destroyed,,Robinson,R22 Beta II,No,1.0,,Personal,1.0,,,,VMC,,Foreign
2007-07-23,"Indian Ocean, Unknown",Unknown,Incident,,Airplane,Airbus,A330,No,2.0,Turbo Fan,,,,,,,,Foreign
2007-07-23,"Basel, Switzerland",Switzerland,Fatal(1),Destroyed,,Express Aircraft,Express 2000 ER,Yes,1.0,Reciprocating,Positioning,1.0,,,,VMC,,Foreign
2007-07-25,"Lillo, Spain",Spain,Non-Fatal,,,Socata,TB-10,No,,,Instructional,,,,2.0,,,Foreign
2007-07-28,"Izhevsk, Russia",Russia,Fatal(5),Destroyed,,Robinson,R44,No,,,Unknown,5.0,,,,VMC,,Foreign
2007-07-29,"Ardfert, Ireland",Ireland,Fatal(1),Destroyed,,Stein,Skybolt,Yes,1.0,Reciprocating,Personal,1.0,,,,VMC,,Foreign
2007-07-31,"PUERTO CONCORD, COLOMBIA",Colombia,Non-Fatal,Substantial,,Douglas,DC-3,No,,,,,,,15.0,VMC,,Foreign
2007-07-31,"VICTORIA, CANADA",Canada,Non-Fatal,Substantial,,De Havilland,DHC-2,No,1.0,Reciprocating,,,,,6.0,VMC,,Foreign
2007-07-31,"Melbourne, VIC, Australia",Australia,Fatal(2),Destroyed,,Rockwell,500S,,,,Business,2.0,,,,VMC,,Foreign
2007-08-02,"Panama City, Panama",Panama,Non-Fatal,,,Boeing,737-724,No,2.0,Turbo Fan,,,1.0,,,VMC,,Foreign
2007-08-02,"Madrid, Spain",Spain,Fatal(2),Destroyed,,Piper,PA-38-112,No,,Reciprocating,Instructional,2.0,,,,VMC,,Foreign
2007-08-03,"Eket, Nigeria",Nigeria,Fatal(1),Destroyed,,Bell,412 EP,No,,,Unknown,1.0,,,,VMC,,Foreign
2007-08-03,"Lancastershire, United Kingdom",United Kingdom,Fatal(4),Destroyed,,Robinson,R44,No,,,Personal,4.0,,,,,,Foreign
2007-08-05,"SANDOWN, UNITED KINGDOM",United Kingdom,Fatal(4),Substantial,,Piper,PA-28-140,No,,,Personal,4.0,,,,,,Foreign
2007-08-09,"Moorea, French Polynesia",French Polynesia,Fatal(20),Destroyed,,De Havilland,DHC6-33,No,2.0,Turbo Prop,,20.0,,,,VMC,,Foreign
2007-08-11,"MELVILLE HALL, DOMINICA",Dominica,Non-Fatal,Substantial,,Gates Learjet,35A,No,,,,,,,6.0,VMC,,Foreign
2007-08-12,"SPIRIT RIVER, CANADA",Canada,Fatal(3),Substantial,,Cirrus,SR-22,No,1.0,Reciprocating,Personal,3.0,,,,,,Foreign
2007-08-12,"Zihuatanejo, Mexico",Mexico,Fatal(3),Destroyed,,Cessna,206,No,,,Business,3.0,,,,VMC,,Foreign
2007-08-15,"WIENER NEUSTADT, AUSTRIA",Austria,Unavailable,Substantial,,Robinson,R-22 Beta II,No,,,Instructional,,,,,VMC,,Foreign
2007-08-15,"Tamoyo, Dominican Republic",Dominican Republic,Fatal(1),Destroyed,,Piper,PA-25-235,No,1.0,Reciprocating,Aerial Application,1.0,,,,VMC,,Foreign
2007-08-20,"Frankfurt, Germany",Germany,Incident,Minor,,Boeing,767-323,No,,,,,,,170.0,VMC,,Foreign
2007-08-20,"Naha, Okinawa, Japan",Japan,Non-Fatal,Destroyed,,Boeing,737-800,No,,,,,,,165.0,,,Foreign
2007-08-22,"Anaco, Venezuela",Venezuela,Fatal(2),Destroyed,,Cessna,U206G,No,,,Personal,2.0,,,,VMC,,Foreign
2007-08-25,"Vannes, France",France,Fatal(2),Destroyed,,Piper,PA-39,No,,,Unknown,2.0,,,,VMC,,Foreign
2007-08-31,"PORT-AU-PRINCE, HAITI",Haiti,Non-Fatal,Substantial,,Cessna,208B,No,,,,,,2.0,4.0,VMC,,Foreign
2007-09-07,"Prajuabkhirikha, Thailand",Thailand,Non-Fatal,Destroyed,,Bell,206B,No,,,Unknown,,,4.0,,VMC,,Foreign
2007-09-08,"BUHL, GERMANY",Germany,Fatal(2),Substantial,,Robinson,R-22 Beta,No,,,Personal,2.0,,,,VMC,,Foreign
2007-09-09,"Johannesburg, South Africa",South Africa,Fatal(2),Destroyed,Helicopter,Robinson,R44,No,,,Instructional,2.0,,,,,,Foreign
2007-09-11,"PORT-AU-PRINCE, HAITI",Haiti,Non-Fatal,Substantial,,Cessna,208B,No,,,,,5.0,5.0,,VMC,,Foreign
2007-09-14,"GUADALAJARA, MEXICO",Mexico,Non-Fatal,Substantial,,Boeing,737-200,No,2.0,Turbo Jet,,,,,109.0,,,Foreign
2007-09-16,"BANBURY, UNITED KINGDOM",United Kingdom,Unavailable,Substantial,,Piper,PA-32-301,No,,,Unknown,,,,,,,Foreign
2007-09-16,"Airolo, Switzerland",Switzerland,Fatal(2),Destroyed,,Piper,PA-28-181,No,,,Personal,2.0,2.0,,,IMC,,Foreign
2007-09-16,"Phuket, Thailand",Thailand,Fatal(89),Destroyed,,Boeing,MD-82,No,,,,89.0,,,41.0,IMC,,Foreign
2007-09-20,"SAGA, JAPAN",Japan,Non-Fatal,Substantial,,Boeing,737-800,No,,,,,,,2.0,,,Foreign
2007-09-23,"BERGAMO, ITALY",Italy,Non-Fatal,Substantial,,Piper,PA-46-350,No,,,Personal,,,,4.0,VMC,,Foreign
2007-09-23,"Bournemouth, United Kingdom",United Kingdom,Incident,,,Boeing,737,No,,,,,,,0.0,,,Foreign
2007-09-26,"Entebbe, Uganda",Uganda,Fatal(2),Destroyed,,Reims Aviation,F406,No,,,Aerial Observation,2.0,,,,VMC,,Foreign
2007-09-29,"SIENA, ITALY",Italy,Non-Fatal,Substantial,,Aerostar,601,No,,,Personal,,,,1.0,VMC,,Foreign
2007-10-04,"Dusseldorf, Germany",Germany,Incident,Minor,,Airbus Industrie,A330,No,,,,,,,,,,Foreign
2007-10-07,"Santo Domingo, Venezuela",Venezuela,Fatal(2),Destroyed,,Gulfstream Aerospace,GIIB,No,,,Executive/corporate,2.0,,,,VMC,,Foreign
2007-10-11,"SANTA FE, ARGENTINA",Argentina,Incident,Substantial,,Learjet,35,No,,,,,,,8.0,VMC,,Foreign
2007-10-11,"Istanbul, Turkey",Turkey,Non-Fatal,Destroyed,,Mcdonnell Douglas,MD-83,No,,,,,,,163.0,,,Foreign
2007-10-12,"BOGOTA, COLOMBIA",Colombia,Fatal(7),Substantial,,Hawker-beechcraft,BE-200,No,,,Business,7.0,,,,VMC,,Foreign
2007-10-13,"BAMFIELD, CANADA",Canada,Fatal(3),Substantial,,Cessna,172,No,,,,3.0,,,,,,Foreign
2007-10-13,"Great Harbor, Bahamas",Bahamas,Fatal(1),Destroyed,,Sullivan,Lancair IV,Yes,,,Personal,1.0,,,,IMC,,Foreign
2007-10-17,"Neuchatel, Switzerland",Switzerland,Fatal(2),Destroyed,,North American,T-6G,No,,,Unknown,2.0,,,,VMC,,Foreign
2007-10-19,"Vancouver, Canada",Canada,Fatal(1),Destroyed,,Piper,PA-34,No,,,Personal,1.0,2.0,,,,,Foreign
2007-10-22,"Windhoek, Namibia",Namibia,Fatal(2),Destroyed,Airplane,Beech,A36,No,,,Personal,2.0,,,,VMC,,Foreign
2007-10-23,"ARAYA, VENEZUELA",Venezuela,Fatal(2),Substantial,,Cessna,182,No,,,Personal,2.0,,1.0,,VMC,,Foreign
2007-10-26,"FAIRMONT, CANADA",Canada,Fatal(3),Substantial,,Piper,PA-46,No,,,Personal,3.0,,,,,,Foreign
2007-10-27,"YAO-CITY, JAPAN",Japan,Fatal(2),Substantial,,Robinson,R-22B,No,,,Business,2.0,,,,,,Foreign
2007-10-28,"KATOWICE, POLAND",Poland,Non-Fatal,Substantial,,Boeing,737-800,No,,,,,,,122.0,,,Foreign
2007-10-28,"GOLDEN, CANADA",Canada,Fatal(2),Substantial,,Cessna,172,No,,,Personal,2.0,1.0,,,,,Foreign
2007-10-28,"Palencia, Spain",Spain,Fatal(2),Destroyed,,Vans Aircraft,RV4,Yes,,,Personal,2.0,,,,VMC,,Foreign
2007-10-31,"ALBROOK, PANAMA",Panama,Non-Fatal,Substantial,,Fokker,F27 MARK 200,No,,,,,,,13.0,VMC,,Foreign
2007-11-01,"San Paulo, Brazil",Brazil,Fatal(3),Destroyed,,Robinson,R-44,No,,,Personal,3.0,1.0,,,VMC,,Foreign
2007-11-04,"Sao Paulo, Brazil",Brazil,Fatal(8),Destroyed,,Learjet,35A,No,,,Positioning,8.0,1.0,1.0,,VMC,,Foreign
2007-11-05,"Culiacan, Mexico",Mexico,Non-Fatal,Destroyed,,Cessna,208B,No,,,,,3.0,12.0,,VMC,,Foreign
2007-11-05,"Mandarfrn, Austria",Austria,Incident,,Airplane,Kaman,K1200 K-Max,No,,,External Load,,,1.0,1.0,VMC,,Foreign
2007-11-07,"CAPE TOWN, SOUTH AFRICA",South Africa,Non-Fatal,Substantial,,Boeing,737-200,,,,,,,,106.0,,,Foreign
2007-11-07,"Merrenberg, France",France,Fatal(1),Destroyed,,Piper,PA-32R,,,,Personal,1.0,,,,,,Foreign
2007-11-09,,Unknown,Incident,,Airplane,Lockheed,WP-3D,No,4.0,Turbo Prop,Public Aircraft - Federal,,,,6.0,IMC,Maneuvering,Probable Cause
2007-11-15,"Nakatsugawa, Japan",Japan,Fatal(2),Destroyed,,Cessna,404,No,,,,2.0,1.0,,,,,Foreign
2007-11-16,"Roissy, France, France",France,Incident,Minor,Powered-Lift,Boeing,777,No,2.0,,,,,,,,,Foreign
2007-11-17,"Inverloch, Australia",Australia,Fatal(4),Destroyed,,Cessna,337G,No,,,Personal,4.0,,,,VMC,,Foreign
2007-11-21,"Jakarta, Indonesia",Indonesia,Incident,Minor,,Boeing,B737-400,No,,,,,,,2.0,VMC,,Foreign
2007-11-22,"Nice, France",France,Incident,Minor,,Boeing,767-300,No,2.0,Turbo Fan,,,,,,,,Foreign
2007-11-26,"Moscow, Russia",Russia,Non-Fatal,Destroyed,,Robinson,R-44,No,,,Unknown,,2.0,,,IMC,,Foreign
2007-11-28,"JAGEL, GERMANY",Germany,Fatal(1),Substantial,Airplane,Cirrus Design Corp.,SR-20,No,,,Ferry,1.0,,,,IMC,,Foreign
2007-11-30,"Isparta, Turkey",Turkey,Fatal(57),Destroyed,,Mcdonnell Douglas,MD-83,,,,,57.0,,,,,,Foreign
2007-12-06,"Arteaga, Mexico",Mexico,Fatal(1),Destroyed,,Cessna,210,No,,,Personal,1.0,,,,VMC,,Foreign
2007-12-09,"KYIV, UKRAINE",Ukraine,Fatal(5),Substantial,,Beech,C90B,No,,,Unknown,5.0,,,,,,Foreign
2007-12-09,"Guario, Venezuela",Venezuela,Fatal(2),Destroyed,,Cessna,T210,No,,,Personal,2.0,,,,VMC,,Foreign
2007-12-12,"CHARLESTOWN, ST KITTS AND NEVIS",St Kitts And Nevis,Non-Fatal,Substantial,,"Bombardier, Inc.",BD-700-1A11,No,,,Personal,,,,4.0,VMC,,Foreign
2007-12-13,"Curaray-Loreto, Peru",Peru,Non-Fatal,Destroyed,,Bell,204B,No,,,,,5.0,,,VMC,,Foreign
2007-12-16,"Cairo, Egypt",Egypt,Incident,Minor,,Boeing,747-228F,No,,,,,,,4.0,,,Foreign
2007-12-17,"PARRAL, CHILE",Chile,Non-Fatal,Substantial,Airplane,Grumman,G164A,No,1.0,Reciprocating,Aerial Application,,,,1.0,VMC,,Foreign
2007-12-17,"Natal, Brazil",Brazil,Incident,,,Airbus Industrie,A-320,No,,,,,,,74.0,VMC,,Foreign
2007-12-17,"Chevroux, France",France,Fatal(1),Destroyed,,Reims,F172 M,No,1.0,Reciprocating,Personal,1.0,,,,IMC,,Foreign
2007-12-19,"GURUPI, BRAZIL",Brazil,Fatal(1),Substantial,Airplane,Cirrus,SR22,No,,,Unknown,1.0,1.0,,,,,Foreign
2007-12-20,"CHUB CAY, BAHAMAS",Bahamas,Non-Fatal,Substantial,,Cessna,208B,No,,,Business,,,,2.0,VMC,,Foreign
2007-12-20,"MCMURDO STATION, ANTARCTICA",Antarctica,Non-Fatal,Substantial,Airplane,Douglas,DC-3T,No,2.0,,Public Aircraft - Federal,0.0,0.0,1.0,9.0,VMC,Takeoff,Probable Cause
2007-12-22,"POINTE-A-PITRE, GUADELOUPE",Guadeloupe,Non-Fatal,Substantial,,Partenavia,AP 68 TP,No,,,Unknown,,,,2.0,VMC,,Foreign
2007-12-23,"Boquete, Panama",Panama,Fatal(3),Destroyed,,Cessna,172,No,,,Unknown,3.0,1.0,,,,,Foreign
2007-12-26,"OCUMARE DEL TUY, VENEZUELA",Venezuela,Non-Fatal,Substantial,,Cessna,T210L,No,,,Personal,,,1.0,,VMC,,Foreign
2007-12-29,"WESTGATE BRIDGE, AUSTRALIA",Australia,Fatal(1),Substantial,,Robinson,R-44,No,,,Instructional,1.0,1.0,,,VMC,,Foreign
2007-12-31,"Guernsey, United Kingdom",United Kingdom,Non-Fatal,Minor,,Cessna,T303,No,,,Unknown,,,,1.0,,,Foreign
2008-01-03,"Deauville Saint, France",France,,Minor,Airplane,Boeing,737-400,No,,,,0.0,0.0,0.0,0.0,,,
2008-01-07,"Bangkok, Thailand",Thailand,Non-Fatal,Minor,Airplane,Boeing,747-400,No,,,,0.0,0.0,0.0,334.0,,,
2008-01-07,"Zuzenhausen, Germany",Germany,Fatal,Destroyed,Helicopter,Bell,206B,No,,,Aerial Observation,1.0,1.0,0.0,0.0,IMC,,
2008-01-10,"Penicton, Canada",Canada,Non-Fatal,,Airplane,Airbus Industrie,319,No,,,,0.0,11.0,0.0,77.0,,,
2008-01-10,"Pitt Meadow, BC, Canada",Canada,Non-Fatal,Substantial,Helicopter,Eurocopter France,AS350B3,No,,,External Load,0.0,0.0,0.0,2.0,,,
2008-01-11,"Windhoek, Namibia",Namibia,Fatal,Destroyed,Airplane,Cessna,210M,No,,,,6.0,0.0,0.0,0.0,VMC,,
2008-01-11,"Puebla, Mexico",Mexico,Fatal,Destroyed,Helicopter,Bell,412HP,No,,,Unknown,8.0,0.0,0.0,0.0,VMC,,
2008-01-12,"Treviso, Italy",Italy,Fatal,Substantial,Airplane,Piper,PA-28-181,No,,,Personal,2.0,0.0,0.0,0.0,,,
2008-01-13,"Huesca, Spain",Spain,Non-Fatal,Substantial,Airplane,Cessna,TU206G,No,1.0,Reciprocating,Skydiving,0.0,0.0,2.0,4.0,,,
2008-01-15,"Port Said, Egypt",Egypt,Fatal,Destroyed,Airplane,Beech,C90B,No,,,,2.0,0.0,0.0,0.0,VMC,,
2008-01-16,"Kiteni, Peru",Peru,,Substantial,Helicopter,Bell,212,No,,,,0.0,0.0,0.0,0.0,,,
2008-01-17,"London, United Kingdom",United Kingdom,Non-Fatal,Substantial,Airplane,Boeing,777-236ER,No,,,,0.0,2.0,0.0,191.0,,,
2008-01-17,"Valencia, Spain",Spain,Non-Fatal,Substantial,Airplane,Cessna,A188B,No,,,Aerial Application,0.0,0.0,0.0,1.0,VMC,,
2008-01-18,"Mysore, India",India,Non-Fatal,Substantial,Helicopter,Bell,206-L3,No,,,,0.0,5.0,0.0,0.0,VMC,,
2008-01-19,"Huambo, Angola",Angola,Fatal,Destroyed,Airplane,Beech,200,No,,,,13.0,0.0,0.0,0.0,IMC,,
2008-01-20,"Perugia, Italy",Italy,Fatal,Substantial,Airplane,Cessna,177B,No,,,Instructional,2.0,0.0,0.0,0.0,IMC,,
2008-01-23,"Cherbourg, France",France,Fatal,Substantial,Airplane,Beech,58P,No,,,Personal,2.0,0.0,1.0,0.0,VMC,,
2008-01-24,"Kingston, Jamaica",Jamaica,,,Airplane,Cessna,C208B Caravan,No,,,,0.0,0.0,0.0,0.0,,,
2008-02-03,"Nurnberg, Germany",Germany,,,Airplane,BOEING,737,No,2.0,,,0.0,0.0,0.0,0.0,,,
2008-02-08,"Totes Gebirge, Austria",Austria,Fatal,Destroyed,Helicopter,Bell,206B,No,,,Instructional,2.0,0.0,0.0,0.0,VMC,,
2008-02-10,"Cusco, Peru",Peru,Non-Fatal,,Airplane,Boeing,737-217,No,,,,0.0,0.0,0.0,55.0,,,
2008-02-10,"Kansai, Japan",Japan,Non-Fatal,,Airplane,Boeing,B737-300,No,,,,0.0,0.0,1.0,72.0,,,
2008-02-11,"Keflavik, Iceland",Iceland,Fatal,Substantial,Airplane,CESSNA,310N,No,2.0,Reciprocating,Ferry,1.0,0.0,0.0,0.0,,,The reported loss of both engines' power during cruise for undetermined reasons.
2008-02-11,"Jabiru, Australia",Australia,Non-Fatal,,Airplane,Beech,1900D,No,,,,0.0,0.0,0.0,2.0,VMC,,
2008-02-12,"Foasi, PNG, Indonesia",Indonesia,Non-Fatal,Substantial,Helicopter,BELL,206L1,No,1.0,Turbo Shaft,,0.0,0.0,2.0,0.0,,,The cause will be determined by the Indonesian National Transportation Safety Committee.
2008-02-13,"Empingham, United Kingdom",United Kingdom,Fatal,Destroyed,Airplane,Piper,PA-28R-200,No,,,Personal,1.0,0.0,0.0,0.0,,,
2008-02-13,"Helsinki, Finland",Finland,Non-Fatal,Minor,Airplane,Boeing,737-500,No,,,,0.0,0.0,0.0,39.0,,,
2008-02-13,"Gascoyne Junc, Australia",Australia,Fatal,Substantial,Airplane,Piper,PA-18,No,,,Other Work Use,2.0,0.0,0.0,2.0,VMC,,
